btCode,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
A000A,,,,,,,,,,,,,,,,,,,A07PQ; A07PR,,A0C6Y,,,,,,,,,,,,
A000F,,A066Q; A067X,,A000F,,,,,,A0F2R,,,,,,,,A07NY,A07PR; A07PT,A07QZ,A07SE; A0C6Q; A0C6Y,,,A07VQ,,A07XD,,A0C03,,,,,
A000G,A059V,A066Q,,A000G,,,,,,,,,,,,,,A07NY,A07PL; A07PP; A07PR; A16RX; A07PQ,,A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,A000G,A07JE; A07LC; A0C0R; A0C0S,,,,,A167T; A169E
A000H,A059X,A066Q,,,,,,,,,,,,,,,,,,,A07SE,,,,,,A000H,,,,,,
A000L,,A066Q; A067Z,,,,,,,,,,,,,,,,A07NY,A07PP; A07PQ; A07PR; A07PS; A07PT,,A07RV; A07SE; A0C6Y,,,A07VP; A07VQ,,A07XD,A000L,A07LC; A0C0L; A0C0S,,,,,A167G
A000M,,,,,,,,,,,,,,,,,,,A07PG; A07PR; A16RX; A07PL,A07QZ,A07SE; A0C6Y,,,A07VP; A07VQ,,A07XD,,,,,,,
A000N,A059C,A066Q,,A000N,,,,,,,,,,,,,,A07NY,A07PQ; A07PR; A07PL; A07PN; A07PT; A16RX; A07PF,A07QC; A07QD,A07SE; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,A000N,A07LC; A07GY; A07JE; A07KG; A0C0S,,,,,
A000P,A059D,A066Q; A066P,,,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,A000P,A07JE; A07LC; A0C0S; A07GY; A0C0R,,,,,
A000R,,A066Q,,,,,,,,A0F2S; A0F2R,,,,,,,,,A07PL; A07PR; A16RX; A07PT,,A07RV; A07SE; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,,A07LC; A0C0S,,,,,
A000S,,A066Q,A06HY,,,,,,,A0CJP; A0F2Q; A0F5H,,,,,,,,,A07PG; A07PQ; A07PR; A07QB,,A07RV; A07SE; A07SG; A0C6Y,,,,,,,A0C0S; A07GV; A07LA; A0C0R; A07GG,,,,,
A000T,A059G,A066Q; A068B,,A042P,,,,,,,,,,,,,,A07NS; A07NY,A07PQ; A07PR; A16RX; A07PG; A07PL; A07PS,,A07RV; A07SE; A0C6Q; A0C6X; A0C6Y,,A07TD; A07TV; A07TY; A07VB; A07VD; A07VF,A07VQ,,A07XD; A07XE,A000T,A07GR; A0BZX; A0C0A; A0C0S; A0C0R; A0C03; A07GY; A07JP,,,,,A0C4A
A000V,,A06CP,,A042P; A06LK; A002Q,,,,,,,,,,,,,,,,,,,,,,,,A0C0S,,,,,
A000Y,,A066Q,,,,,,,,A0F2R,,,,,,,,,A07PR,,A07SE,,,,,,A000Y,A0C0S,,,,,
A001B,,,,,,,,,,,,,,,,,,A07NY,A07PL; A07PN; A07PR; A16RQ; A16RX; A07PQ; A07PF,,A07SE; A0C6Q; A0C6Y,,,A07VQ,,A07XD,,A07LC; A0C0S,,,,,
A001C,,A066Q,A06HY,,,,,,,A0F2R; A0F2S,,,,,,,,A07NK; A07NY,A07PQ; A07PR; A07PX; A16RQ; A16RX; A16RT; A07PT; A07PS,A07QD,A07RV; A07SE; A0C6Q; A0C6Y,,,A07VP; A07VQ,,A07XD,,A07LC; A0C0R; A0C0S; A07GF; A07LK,,,,,A0C3X
A001D,A059Y,A066Q,,,,A0BA6,,,,A06HR,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A07PV; A16RX; A16SA; A07PT,A07QC; A07QZ; A07QY,A07RV; A07SE; A0C6Y,,A07TD,A07VQ,,A07XD,A001D,A07GF; A07GG; A07LC; A07LK; A0BZV; A0C0R; A0C0S,,,,,
A001E,A059Y,A066P; A066Q,,,,,,,,A06HR; A0EZZ,,,,,,,,,A07PQ; A07PR,A07QZ,A07SE; A0C6Y,,A07TD,,,,A001E,A0BZV; A0C0S; A07LC,,,,,
A001F,A059Y; A059Z,A066Q; A066P,A06JC,,,A0BA6,,,,A06HR; A0F2P; A0F2R,,,,,,,,A07NK; A07NY,A07PQ; A07PR; A07PX; A16RQ; A16RX; A16SA; A07PT; A07PL; A07PN; A07PS,A07QC; A07QZ; A07QY,A07SE; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,A001F,A07LC; A07LK; A0BZV; A0C0R; A0C0S; A0BYM; A07KG; A07GM,,,,,
A001G,,,,,,A0BA6,,,,,,,,,,,,,A07PR,,,,,,,,,,,,,,
A001H,,,,,,,,,,,,,,,,,,,A07PR,A07QZ,A07RV; A0C6Y,,A07TD,,,,,A0C0R; A0CQZ; A07LC,,,,,
A001J,,,,,,A0BA6,,,,,,,,,,,,,A07PR; A07PQ; A07PT,,A07SE; A0C6Y,,,,,A07XD,,A0C0S,,,,,
A001K,A05AD; A05AN,A066Q,,,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A07PT,,A07SE; A0C6Q; A0C6Y,,A07TD,A07VP,,A07XD,A001K,A07JE; A07KG; A07LC; A0C0L; A0C0S,,,,,
A001L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001M,A05AF,A066Q,A06HY; A06JD,,,,,,,A0CJP; A0F2S,,,,,,,,A07NY,A07PQ; A07PR,A07RC; A0CQV,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,,A0C0L; A0C0S; A07GP; A07LK; A0CRJ; A07GG; A07LC; A0C0R,,,,,
A001N,,A066Q,,,,,,,,A0F2S,,,,,,,,A07NK; A07NY,A07PL; A07PP; A07PR; A07PT; A16RX; A07PQ,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,,A07JE; A07KG; A07LC; A0C09; A0C0A; A0C0L; A0C0R; A0C0S; A07HV; A0C03; A0BYM,,,,,
A001P,,,,,,,,,,,,,,,,,,A07NY,A07PL; A07PR,,A07RV; A07RZ; A07SE; A0C6Q; A0C6Y,,A07TD,,,A07XD,,A0BA1; A0C0R; A0C0S; A07KJ; A07LC; A0C0A; A07GY; A0C00,,,,,A0C4A
A001Q,A05AH,A066Q,,,,,,,,,,,,,,,,,A07PL; A07PR,,A07RY; A0CAG; A07SE; A0C6Y,,,,,A07XD,A001Q,A07JE; A0C0S; A0C0A; A07LA,,,,,
A001R,,A066Q,,,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A16RX; A07PF; A07PP; A07PT,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,,A07HR; A07JE; A07LC; A0C0S; A0C0R; A0C03,,,,,
A001S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001V,,,,,,,,,,,,,,,,,,A07NY,A07PR,,A0C6Y,,,,,A07XD,,,,,,,
A001X,A05AF,A066Q,,,,,,,,,,,,,,,,,A07PR,,A07RV; A07SE; A0C6Y,,,A07VQ,,A07XD,,A0C0S; A0C0R,,,,,
A001Y,A059J,A066Q,,,,,,,,,,,,,,,,,A07PR; A07PQ,,A07RV; A07SE; A0C6Q; A0C6Y,,,A07VQ,,A07XD,,A0C0R; A0C0S,,,,,A0C4A
A002C,,,,,,,,,,,,,,,,,,,A07PL; A07PR; A07PT; A07PS,,A07SE; A0C6Y,,,A07VP,,A07XD,,,,,,,A0C1B; A167G
A002G,,A067Z,A06JD,,,,,,,A06HR,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A07PT,,A07SE; A0C6Y,,A07TD,A07VQ,,A07XD,,A07LA; A0C03; A0C0A,,,,,
A002H,,A068B,,A000N,,,,,,,,,,,,,,,A07PL; A07PR,,A07SE,,,,,A07XD,,A0C0R; A07LA,,,,,
A002K,,A066Q,,A000P,,,,,,,,,,,,,,,A07PL; A07PQ; A07PR; A07PT,,A07RV; A07SE; A0C6Q; A0C6Y,,,A07VQ,,A07XD,,A07LC; A0C0R; A0C0S; A0BZV; A0C03,,,,,
A002L,,A067Z,,A00DA,,,,,,,,,,,,,,,A07PQ; A07PR,,A07SE; A0C6Y,,,,,,,A0C0A,,,,,
A002N,,,,,,,,,,A0B8L,,,,,,,,A07NY,A07PL; A07PR; A07PT; A16RX; A07PH; A07PQ,,A07SE; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,,A07KG; A07LA; A0C03; A0C0R,,,,,
A002P,,A067Z,,,,,,,,,,,,,,,,,A07PQ; A07PR,,A07RV; A07SE; A0C6Y,,,,,,A000T,A0C0R; A0C0A; A07GG,,,,,
A002Q,,A067Z; A068C,A07Y2; A07Y3,A000T,,,,,,A0B8L; A0F5H,,,,,,,,A07NY,A07PL; A07PR; A07PN; A07PQ,,A07RV; A07RZ; A07SE; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,A000T,A07GY; A07HR; A07KG; A07LA; A0C03; A0C0A; A0C0R; A0BA1; A07HC,,,,,A167G
A002R,,,,,,,,,,,,,,,,,,,A07PQ; A07PR; A07PF; A07PX; A07PL; A07PT,,A07SE; A0C6Y,,,A07VQ,,A07XD,,A07LA; A0C0A,,,,,A0C47
A002T,,,,,,,,,,,,,,,,,,A07NY,A07PQ; A07PR; A07PL; A07PT,,A07SE; A0C6Y,,,A07VP; A07VQ,,A07XD,,,,,,,
A002V,,,,,,,,,,,,,,,,,,,A07PL,,,,,,,,,A0C0R,,,,,
A002Y,,A067Z,,,,,,,,A0B8L,,,,,,,,A07NY,A07PL; A07PR,,A07SE,,,,,A07XD,,A0C0R; A0C0A; A0C03,,,,,
A002Z,,A068B,,A000G,,,,,,,,,,,,,,,A07PL,,A07SE; A0C6Y,,,,,,,A07LA; A0C0R,,,,,
A003B,,A067Y,,,,,,,,,,,,,,,,A07NY,A07PL; A07PP; A07PQ; A07PR; A07PT,,A07RV; A07SE; A0C6Y,,A07TD,A07VQ,,A07XD,,A0C09; A0C0R; A0C0S,,,,,A168N; A167G
A003D,A059Y,A066P,A06JC,,,A0BA6,,,,,,,,,,,,A07NK; A07NL,A07PQ; A07PR,A07QZ,A07SE; A0C6Q; A0C6Y,,A07TD,,,,,A07GP; A07LK; A0C0R; A07KG; A07GF; A07LC; A0BZV,,,,,
A003F,,A067Z,A06JD,A001D,,,,,,A06HR,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A07PT; A16RQ,,A07RV; A07SE; A0C6Y,,A07TD,A07VQ,,A07XD,,A07LA; A0C0R; A07HC; A0C0A,,,,,A167G
A003J,,A067Z,,,,,,,,A07XK,,,,,,,,A07NY,A07PL; A07PR,,A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,,A07LA; A0C0A,,,,,
A003K,,A067Z,A07Y2,A001K,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR,,A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,,A07LA; A0C03; A0C0A,,,,,A167G
A003L,,A067Z,,,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A07PT,,A07SE; A0C6Y,,A07TD,A07VQ,,A07XD,A001K,A07LA; A0C03; A0C0R; A0C0A; A0C0S,,,,,
A003M,,A067Z,,,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR,,A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,A001K,A07LA; A0C03; A0C0R; A0C0A,,,,,
A003P,,,,,,,,,,,,,,,,,,A07NY,A07PL; A07PR,,A07SE; A0C6Y,,,A07VQ,,A07XD,,,,,,,
A003T,,,,,,,,,,,,,,,,,,,A07PQ,,A0C6Y,,,,,,,,,,,,
A003X,,A067Z,A06JD,,,,,,,A0F2R; A0F2S,,,,,,,,A07NY,A07PL; A07PQ; A07PR,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,A0D9K,A07LA; A0C03; A07HC; A0C0A; A0C0R; A0CRJ; A0C0L,,,,,A167G
A003Y,,A067Z,A07Y2; A06JD,A004Q; A001M,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A07PT,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,A001M,A07LA; A0BZT; A0C03; A0BA1; A0C0A; A0C0R,,,,,
A003Z,,A067Z,A07Y2,A001M,,,,,,,,,,,,,,,A07PL,,,,,,,,,A0C0S; A0C03,,,,,
A004A,,,A06JD,,,,,,,,,,,,,,,,A07PL; A07PQ; A07PR,,A07RV; A07SE; A0C6Y,,A07TD,,,A07XD,,A07LA; A0C03; A0C0A,,,,,A167G
A004B,,A067Z,A07Y2,A004Q; A001M,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR,,A07RV; A07SE; A0C6Q; A0C6Y,,,A07VP; A07VQ,,A07XD,A001M,A07JV; A07LA; A0C03; A0C0A; A0C0R; A07KG,,,,,A168P
A004C,,A067Z,,,,,,,,,,,,,,,,,A07PL,,A07RV; A07SE; A0C6Y,,A07TD,,,,,A0C0A; A0C0R; A0C03,,,,,
A004E,,,,,,,,,,,,,,,,,,A07NY,A07PR; A07PQ; A07PL,,A07RV; A0C6Y; A07SE,,,A07VQ,,A07XD,,A0CQZ; A0C0A; A0C0R,,,,,
A004F,,A068C,,A00ZZ,,,,,,A0EZZ; A0CJP,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A07PT; A16RX,,A07RV; A07SE; A0C6Y; A0CAG,,A07TD,A07VQ,,A07XD; A07XE,A001N; A001P; A001M,A07LA; A0C0R; A0C0S; A0C03,,,,,
A004G,,A068B,,,,,,,,,,,,,,,,,A07PQ; A16RX; A07PL; A07PR; A07PT,,A07SE; A0C6Y,,,A07VP,,A07XD,,A07GL; A0C0R; A07LA; A07KP,,,,,
A004H,,A067Z,,,,,,,,A0F2Z,,,,,,,,A07NY,A07PQ; A07PL; A07PR,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,,,A07XD,,A07LA; A0C0A; A0C0R,,,,,A167G
A004J,,A067Z,A07Y2,A001R,,,,,,,,,,,,,,A07NY,A07PL; A07PR,,A07SE; A0C6Y,,,A07VQ,,A07XD,,A07LA; A0C0R; A0C03,,,,,
A004K,,,,,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A07PT,,A07SE; A0C6Y,,,A07VQ,,A07XD,,A07LA,,,,,
A004L,,,,,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR,,A07SE; A0C6Q; A0C6X; A0C6Y,,,A07VQ,,A07XD,,A07LA; A0C03; A0C0S,,,,,
A004M,,,,,,,,,,,,,,,,,,,A07PF; A07PR,,A0C6Y,,,,,,,,,,,,
A004P,,A067Y,,,,,,,,,,,,,,,,A07NY,A07PL; A07PQ; A07PR; A07PH,,A07SE; A0C6Y,,,A07VQ,,A07XD,A001M,A0C09,,,,,A168L; A167G
A004Q,A05AF,A067R,,,,,,,,,,,,,,,,,,,A07SE,,,,,,,,,,,,
A004S,,A067Z,,,,,,,,,,,,,,,,,,,A07SE; A0C6Y,,A07TD,,,A07XD,A001K; A001N,A0C0A; A07LB,,,,,A167G; A0C13
A004V,,A06CM; A06CN,A06HY,A003Y,,,,,,A06HR,,,,,,,,A07NY,A07PL; A07PR,,A07RV; A0C6Q; A0C6Y; A07SE,,,,,A07XD,,A0BA1; A0C0R; A07GX,,,,,A168Q
A004X,,A06CN,,A015F; A015J; A015K; A015L; A02LT; A02QE; A039C; A004S,,A0BA6,,,A0EVS,A0F6C; A06HR,,,,,,,A0CQX,A07NY,A07PR; A16RQ; A07PL,,A07RV; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,,A0BYM; A07GX; A0BA1; A07KQ,,,,,A167G; A168S; A0C3T; A167H
A004Y,,A06CN,A06HZ; A06JA,A015F; A015J; A001M; A003Y,,,,,,A166Y; A07XK,,A008H,,,,,A0CQX,A07NK,A07PL; A07PR,,A07SE; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,,A07GX; A0BYM; A0C0R; A0C0S; A0CHV,,,,,A168S; A0C3S; A168R
A004Z,,,,,,,,,,,,,,,,,,,,,A07RV; A0C6Q,,,,,,,A07GX; A0C0R,,,,,A168R
A005A,,A06CN,,A003Y; A00ZT,,,,,,A07XK,,,,,,,,,,,,,,,,,,A07GX,,,,,A168S
A005B,,,,,,,,,,,,,,,,,,,,,A0C6Y,,,,,,,A07GX,,,,,
A005D,,,,,,,,,,,,,,,,,,,,,A0C6Y,,,,,,,A0C0R; A0C0S; A07GX,,,,,A168S
A005E,,A06CM; A06CN,,A015F; A003Y; A001M,,,,,,A06HR; A07XK,,A008H,,,,,,,A07PR; A07PL,,A07SE; A0C6Q; A0C6Y,,A07TD,A07VP,,A07XD,,A07GX,,,,,A168R; A168S; A167P; A168F
A005F,,A06CN,,A015F; A003Y; A003J,,,,,,,,,,,,,,A07NY,A07PR; A07PL,,A07SE; A0C6Y,,A07TD,A07VP,,A07XD,,A07HR; A07GX,,,,,A167G; A168R
A005G,,A06CN,,A003Y; A003J,,,,,,,,,,,,,,A07NY,A07PR; A07PL; A07PS,,A07SE; A0C6Y,,,A07VP,,A07XD,,A0C0R; A07GX,,,,,A168R
A005H,,,,,,,,,,,,,,,,,,A07NY,A07PH; A07PR; A07PL; A07PT,,A0C6Y; A07SE,,,A07VP; A07VQ,,A07XD,,A07GX; A0C0R,,,,,A168R; A167P
A005J,,,,,,,,,,,,,,,,,,A07NY,A07PR; A07PH; A07PJ; A07PN; A07PS,,,,,A07VQ,,A07XD,,,,,,,A168R
A005K,,,,A001R; A004J; A00HC; A015F; A015J; A02MV; A02QK; A043N,,,,,,,,,,,,,,A07NY,A07PQ; A07PR; A07PJ; A07PL,,A07SE; A0C6Y,,A07TD,A07VP,,A07XD,,A0BYM; A07KQ; A07GX; A0CHV,,,,,A168Q; A168R; A168S
A005L,,,,A003X; A015F; A01QF; A003J; A015L; A015G; A000Y; A0DBM; A015K,,,,,,A0EZZ,,,,,,,,,A07PJ; A07PR; A07PL; A16RX,,A07SE; A0C6Y,,A07TD,A07VP,,A07XD,,A07HR; A07GX; A07KV,,,,,A168R; A168S
A005M,,,A06JA,A015X; A015G; A015K; A015L,,,,,,,,,,,,,,A07NK,A07PR,,A0C6Y,,A07TD,A07VP,,,,A07GX,,,,,A168T; A168R; A168S
A005N,,A06CN,,A003Y; A003J,,,,,,,,,,,,,,A07NY,A07PL; A07PR; A07PJ,,A07SE; A0C6Y,,,A07VP; A07VQ,,A07XD,,A07HR; A0C0R; A07GX,,,,,A168R; A168S; A0C3T; A168Q
A005P,,A06CN,,A003Y; A003J,,,,,,A06HR,,,,,,,,A07NY,A07PR; A07PL; A07PJ,,A0C6Y; A07SE,,,A07VQ,,A07XD,,A07GX; A07HR,,,,,A168R; A167P
A005Q,,A06CN,,A004S,,,,,,A0B8L,,A008H,,,,,,,A07PR; A07PL,,A07RV; A0C6Y; A07SE,,,A07VQ,,A07XD,,A0C0R; A07GX; A0CHV,,,,,A167G; A168R; A0C3T; A168S
A005R,,,,A000M,,,,,,,,,,,,,,,,,A07RV; A0C6Q,,,,,,,A0C0R,,,,,
A005S,,A06CN,,A003Y,,,,,,A0B8L,,,,,,,,,,,A0C6Y,,,,,,,A07GX,,,,,
A005V,,,,,,,,,,,,,,,,,,A07NY,A07PL; A07PR,,A0C6Y,,,A07VP,,A07XD,,A07GX,,,,,A167G; A168G; A167H
A005Y,,A0ERA,,A001C; A003M; A003Q; A003X; A004H; A015F; A015G; A015J; A015K; A042P; A06KJ; A06RQ; A036P; A018Z; A00HC; A01BP; A02QE; A02QQ; A00XV; A017J; A0DMX,,,,,,A0CJK,,,,,,,,A07NY,A07PQ; A07PR; A07PT; A16RX; A07PN; A07PS; A07PH,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VP,,A07XD,,A07GX; A0C0R; A07KT; A0BA1,,,,,A167H; A168D; A168H; A168J; A168G; A0C3Q; A168F
A005Z,,,,A004S,,,,,,A06HR,,,,,,,,,A07PR; A07PT,,,,,,,A07XD,,A07GX,,,,,A168G
A006A,,,,,,,,,,,,,,,,,,A07NY,A07PL; A07PP; A07PR; A07PT,,A07SE; A0C6Y,,,A07VP,,A07XD,,A07HR; A07KG,,,,,A168G
A006B,,,,,,,,,,,,,,,,,,A07NY,A07PL; A07PP; A07PR; A07PT; A07PQ,,A07SE; A0C6Y,,,A07VP,,A07XD,,A07HR,,,,,A168G
A006D,,A06CQ,,,,,,,,A0CRG,,,,,,,,,A07PR,,A0C6Q; A0C6Y; A07SE,,,A07VP,,A07XD,,A07GX,,,,,A168G
A006E,,,,,,,,,,,,,,,,,,,,,A0C6Q; A07SE,,,,,A07XD,,A07GX,,,,,A168G
A006F,,,,A000L; A015F,,,,,,,,,,,,,,,,,,,A07TD,,,,,A07GX,,,,,
A006G,,,,A015L; A037D; A042P; A042R; A042X; A02PN; A015K; A043P; A048C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A006H,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0C0R,,,,,
A006J,,,,,,,,,,,,,,,,,,,,,,,,,,A07XD,,,,,,,A168G
A006K,,A06CR,,A011J; A032J; A042P,,,,,,,,,,,,,,,A07PQ; A07PR; A07PS,,A07SE; A0C6Y,,A07TD,A07VP,,A07XD,,A0C0R,,,,,A168D; A167G; A167H
A006L,,,,A042P,,,,,,,,,,,,,,,A07PR; A07PN,,A0CAH; A0C6Y; A07SE,,,,,A07XD,,A0BYM; A07GX,,,,,A168D
A006M,,A06CS,,A014K; A02LT; A039C,,,,,,A0CRG,,,,,,,,A07NY,A07PQ; A07PR; A07PT; A07PG; A16RX,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VP,,A07XD,,A07HN; A07HP; A07HR; A0C0S; A07GX; A07LZ; A0BA1,,,,,A168D; A168G; A168H; A167P; A168F; A167J
A006N,,A06CS,,A003Y; A00XV,,,,,,A07XK,,,,,,,,A07NK,A07PR,,,,,,,,,A0C0R; A07KG; A07GX,,,,,A168G; A168S; A0C3V
A006P,,A06CS,A06HY,,,,,,,A06HR,,,,,,,,,A07PR; A07PT,,A07SE,,,,,A07XD,,A07GX,,,,,A168D; A168G
A006R,,,,A015J,,,,,,,,,,,,,,,,,A07RZ,,A07TD,,,,,A0C0R; A07GX,,,,,
A006S,,,,,,,,,,,,,,,,,,A07NY,A07PR,,A0C6Y,,,A07VP; A07VQ,,,,A0BYM,,,,,A168Q
A006V,,,,A000S,,,,,,,,,,,,,,,,,A07RV,,,,,,,A0C0R,,,,,A168R
A006Z,,,,,,,,,,,,,,,,,,,A07PR,,A0C6Y,,,,,A07XD,,A0C0R; A07GY,,,,,A167G; A0C3X; A0C3T; A168S
A007A,,A06CM,,,,,,,,,,,,,,,,A07NK; A07NY,A07PQ; A07PR; A07PL; A07PT; A16RX,,A07RV; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,,A07KT; A07LA; A0C0S; A07GX; A0C0R,,,,,A168D; A167G
A007B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0C0R,,,,,A168J
A007D,,,,,,,,,,,,,,,,,,,A07PQ; A07PR; A07PT,,A07RV; A0C6Q; A0C6Y; A07SE,,,,,A07XD,,A07KG; A0BA1; A0C0R; A066E,,,,,A0C44; A0C21; A0C23
A007E,,A06CX,,A002Q; A003X; A031F,,,,,,,,,,,,,,,A07PQ; A07PR,,A07SE; A0C6Q; A0C6Y,,A07TD,,,A07XD,,A07KQ; A07KG; A0C0R,,,,,
A007F,,,,,,,,,,,,,,,,,,,A07PL,,,,A07TD,A07VQ,,A07XD,,A07LF; A0C0R,,,,,A0C44
A007G,,,,,,,,,,A0B8L; A166Y,,,,,,,,,A16RQ,,A07RV; A0C6Q,,A07TD,,,,,A0C0R,,,,,
A007J,,,,,,,,,,,,,,,,,,,,,A07RV; A07RZ,,,,,,,A0C0R,,,,,
A007L,,,,A002G; A002Q; A004B; A004H; A004L; A004S; A04MA; A07XJ,,,,,A0EXZ; A0EXN,,,,,,,,,A07NK; A07NY,A07PQ; A07PR; A16RX; A07PT,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,,A07GG; A07KQ; A0BA1; A0C0R; A0C0S; A07KG,,,,,
A007M,,A06CX,,A004B; A004F; A003X; A000S; A031Q,,,,,,A0B8L; A0EZZ,,,,,,,,,A07PQ; A07PR; A07PN; A16RX; A07PL; A07PT,,A07SE; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,,A0C0R; A0C0S; A07KG,,,,,
A007P,,A06CX,,A004B; A004F; A013S; A06TR; A00MJ; A0DMX,,,,,,,,,,,,,,A07NY; A07NK,A07PQ; A07PR; A07PT; A16RX,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VP; A07VQ,,A07XD,,A07KG; A0C0R; A0C0S; A0BA1; A0C03; A07LF,,,,,A167G
A007R,,,,A003Y; A031G,,,,,,,,,,,,,,A07NK,,,,,,,,,,A07KG,,,,,
A007S,,,,A0EYF,,,,,,,,,,,,,,A07NY,,,A07RV; A0C6Y; A07SE,,,,,A07XD,,A07MA; A0C0R,,,,,A0C40; A0C13
A007X,,,,A00MX,,,,,,,,,,,,,,A07NK,,,,,,,,,,,,,,,A0C40
A008B,,,,A013Q; A01BH,,,,,,,,,,,,,,,A07PQ,,A07SE; A0C6Y,,,,,,,A0C0R; A0C0S,,,,,A0C21; A0C2B
A008C,,A06CZ,,A000P; A001P,,,,,,,,,,,,,,,A07PQ,,A0C6Y; A07SE,,A07TD,,,,,A07GM; A07KG; A07LA,,,,,
A008D,,,,,,,,,,,,,,,,,,,,,,,,,,A07XD,,,,,,,A0C4H
A008E,,A06CX,,A003X,,,,,,,,,,,,,,A07NY,A07PR; A16RX,,A0C6Y,,,A07VQ,,A07XD,,A07KG,,,,,A0C3Z
A008F,,A06CZ,,,,,,,,,,,,,,,,A07NY,A07PQ; A07PR; A07PT,,A07SF; A0C6Y; A07SE,,A07TD,A07VQ,,A07XD,,A07KG; A0C0R; A0C0S,,,,,
A008G,,,,,,,,,,,,,,,,,,,,,A0C6Y,,,,,,,A0C0R,,,,,
A008J,,A06DB,,,,,,,,,,,,,,,,,A07PL,,A07SE,,,,,,,,,,,,
A008K,,,,,,,,,,,,,,,,,,A07NY,,,A0C6Y,,,,,A07XD,,,,,,,A0C3Q
A008L,,,,,,,,,,,,,,,,,,,,,A0C6Y,,,,,,,A0C0R,,,,,
A008N,,,,,,,,,,,,,,,,,,,,,A0C6Y,,,,,,,A0C0R,,,,,
A008Y,,,,,,,,,,,,,,,,,,,A07PL,,,,,,,,,,,,,,
A008Z,,,,,,,,,,,,,,,,,,,,,,,,,,A07XD,,,,,,,A0C3Q
A009A,,,,,,,,,,,,,,,,,,,A07PL,,,,,,,,,,,,,,
A009F,,,,,,,,,,,,,,,,,,,,,A0C6Y,,,,,,,A0C0R,,,,,
A009M,,,,,,,,,,,,,,,,,,,A07PL,,,,A07TD,,,,,A07GX; A0C0R,,,,,
A009Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A167G
A009T,,A06CY; A06DM,,A003X; A0EQD; A02ML,,,,,,,,,,,,,,A07NY,A07PN; A07PQ; A07PR; A16RX,,A07RV; A07SE,,,A07VP,A07XA,A07XD,,A07KQ; A0BA1; A07GX; A0C0R,,,,,A0C3Q; A167J; A167H; A167P
