btCode,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
A01NN,,A0ELS,A06JA,,,,,,,,,,,,,,,A07NL,A07PF; A07PG; A07PH; A07PJ,,A07SE; A0C6Y,,A07TD,A07VP,,A07XD,A00SD; A01BP; A01BT; A01CD; A01CY; A01EA; A01EJ; A01EP; A01FC; A01GS; A01JV; A0CFN; A01LF,A0BYP; A0CHV; A07HR; A07KY,,,,,A167C; A0C4S
A01NP,,,,,,A06XY; A06XZ,,,,,,,,,,,,A07NL,A07PG,,,,A07TD,,,,,A0BYP,,,,,
A01NQ,,,A06JB; A06JG,,,,,,,,,,,,,,,A07NY,A07PF; A07PJ; A07PR,,A07SE,,,A07VP,,A07XD,,,,,,,A0C4S
A01NR,,A0ELS,A06JA,,,,,,,,,,,,,,,A07NY,A07PF,,,,,,,A07XD,,A07KV; A0BYP,,,,,A0C4S
A01NS,,,,A01DJ; A0BXT; A00QH,,,,,,,,,,,,,,,A07PG,,,,,,,,,,,,,,
A01NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01NX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01NY,,,,,,A06XZ; A06XY,,,,,,,,,,,,,,A0F2X,,,A07TD,,,,,A07KV; A0BYP,,,,,
A01PA,,,,,,,,,,,,,,,,,,,,,A07SE,,,,,,,,,,,,
A01PB,,,A06JA; A06JB,,,A06XZ; A169N,,,,,,,,,,,,A07NL,A07PG; A07PF,,A07SE,,A07TD,,,A07XD,,A0BYP; A07KY; A07KX,,,,,A0C4S
A01PC,,,,,,A06XZ,,,,,,,,,,,,,A07PF; A07PH; A07PT,,A07SE; A0C6Y,,,A07VP,,,,A07HR,,,,,A0C4S
A01PD,,A068P,,A01GG; A01HF; A01HG; A01DZ,,,,,,,,,,,,,,,A07PG; A07PR,,,,,,,,,A0BYP; A0BA1,,,,,A0C4P
A01PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01PF,,A068P; A0ERS,,A019V; A01DH,,,,,,A077K; A0CRG; A077M,,,,,,,,,A07PF; A07PJ; A07PR; A07PG,,A07RV; A07SE; A0C6Q; A0C6Y,,A07TD,A07VP,,A07XD,,A0C0R; A0BA1; A0C0Q; A0C6N,,,,,A0C4P
A01PG,,,,,,,,,,,,,,,,,,,A07PG,,A0C6Y,,,,,,,A0C0R; A0BYP,,,,,
A01PH,,,,,,,,,,,,,,,,,,A07NY,A07PJ,,,,,,,A07XD,,,,,,,A0C1T; A0C4S
A01PJ,,A068P,,A01GP,,,,,,,,,,,,,,,A07PF; A07PG,,,,,,,A07XD,,A0BA1,,,,,A0C1T; A0C4S
A01PK,,,,,,,,,,,,,,,,,,,A07PF,,A0C6Y,,,A07VP,,,,,,,,,A0C4S
A01PL,,A068P,,A01GH,,,,,,,,,,,,,,,A07PF,A07QK; A07QH,,,,,,A07XD,,A07HR; A0BA1,,,,,A0C4S
A01PM,,,,,,,,,,,,,,,,,,A07NY,A07PF; A07PG,,,,,,,A07XD,,A07LC; A0BYP,,,,,A0C4S
A01PN,,,,,,,,,,,,,,,,,,,A07PR,,,,,,,,,,,,,,
A01PQ,,A068P; A0ERS,,A01LP,,,,,,,,,,,,,,,A07PG,,,,,,,,,A0BA1; A0BYP,,,,,
A01PR,,,,A01DJ; A01DP; A01GF; A01GM,,,,,,,,,,,,,,,,,,,A07TD,,,,,A0BA1; A0C6N,,,,,
A01PS,,,,A0CGX,,,,,,,,,,,,,,,A07PR,,A07SE,,A07TD,,,A07XD,A01BY; A01FH; A0DZB; A01BP,A07KV; A07HR,,,,,
A01PT,,,,,,,,,,,,,,,,,,,A07PR,,,,,,,,,,,,,,A0C4E
A01PV,,,,,,,,,,,,,,,,,,,A07PR,,A07SE,,,,,,,,,,,,
A01PX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01QF,,,,A014C,,,,,,,,,,,,,,,A16RY; A07PT,,A0C6Y,,A07TD,,,,A0DVE,A0BYM; A0C0R; A07KG; A07JP,,,,,
A01QG,,,,A043V,,,,,,,,,,,,,,A07NY,A07PR,,,,,A07VP,,A07XD,,,,,,,A0C4R
A01QH,,,,A032H; A047B,,,,,,A077J,,,,,,,,A07NK,A07PL; A07PM; A07PR,,A0C6Y; A07SE,,A07TD,,,A07XE,A01LC; A01LE,A07KG; A0CHV; A07GR,,,,,A167C
A01QJ,,A066N; A0EMC,A06JG,A01DZ,,,,,,A077M,,,,,,,,,A07PF,,A07SE; A0C6Y,,A07TD; A07TF,A07VP,,A07XE; A07XD,A01DJ; A01DR; A01HF; A01HG; A01LF; A01DP; A01LC; A01GL; A0CGV,A07HY; A0C0S; A0C6N; A07LJ; A07LN,,,,,A0C4Q
A01QK,,A0ELS,,,,,,,,,,,,,,,,,,,,,,,,,,A0BYP,,,,,
A01QP,,,,,,,,,,,,,,,,,,A07NY,A07PH; A07PR,,A07RV; A0C6Y,,,,,A07XD,,A0C0S,,,,,A0C2X; A0C4R
A01QR,,A06AV,,,,,,,,,,,,,,,,,A07PX,,,,,A07VP,,A07XD,,A07HS; A0CQZ; A07HR; A0BA1,,,,,A0C3K
A01QS,A057P; A058M; A0F1Y,A069H; A069M; A0BYZ,,,,,,,,,,,,,,,,,,,A07RY,,,,,,,,,,,,
A01QV,A057E; A0C78; A0C9E; A0C9F; A0C9G; A0C9H; A0C9J; A0C9K; A0C9L; A0C9M; A0C9P; A0C9Q; A0CHK; A0F1V,A069H; A0BYZ; A069N; A0CET; A0CEX; A0CEY; A0EME,A06HZ,,,,,,,,,,,,,,,,A07PR,A0F4T; A0F4V,A07SE; A0C6Q; A0C6Y,,A07TD,,,,A01QV,A07HS; A07KP; A07KY; A0C0S; A0EJY; A07KT,A0C7N,,A0C8V; A0C8X; A0CSD; A0C8S,A0C9A; A0C8Z; A0C9B; A0C7H,A0C3M
A01QX,A057E; A0C9E; A0C9F; A0C9L; A0C9M; A0C9P; A0C9Q; A0F1V,A069H; A069J; A0BYZ; A0CJM; A07XS,A06JA; A06JB; A06HY; A06HZ,A042Z,,,,,,A06HQ,,,,,,,,A07NY,A07PR; A07PS; A07PL; A07PP,A07QM; A0F4T,A07RV; A07SE; A0C6Y; A07SD; A0C6R,,A07TD,A07VQ,,A07XD,,A07HS; A07KP; A07KQ; A0C0R; A0C0S; A0BA1; A07GG; A07LZ; A07JK; A0BYM,A0C7G; A0C7N,A0C7L,A0C8V; A0C8X; A0C8S; A0CSD,A0C7H; A0C8Z; A0C9A; A0C9B,A0C3M; A0C3L; A0C3H
A01QY,A0C9F; A0C9M; A0F1V,A069H; A0BYZ; A06AH; A07XS,A06HZ,,,,,,,,,,,,,,,,,A0F4V,A07RV,,A07TD,,,A07XD,,A07HS; A07JV; A0C0S,,,A0C8X; A0C8V,A0C8Z; A0C9A; A0C7H,
A01QZ,,,,,,,,,,,,,,,,,,,,,A07RV,,A07TD,,,,,A0C0S,,,,,
A01RG,A057F; A0C9X; A0C9Y,A069H; A06AH; A06AP; A069M; A069N; A0BYZ; A0CEY; A0EJN; A07XS,A06JB; A06HY; A06HZ; A06JA,A04AD; A042Z,,,A073T,,,,,,,,,,,A07NY,A07PH; A16RQ; A16RT; A16RY; A07PQ; A07PR; A07PG; A07PL; A07PN; A07PP; A07PT,A07QM; A0F4T; A0F4V,A07RV; A07SE; A0C6Q; A0C6Y,A07SH,A07TD,A07VP,,A07XD,A01RG,A07GX; A07HS; A07JV; A07KN; A07KP; A07KQ; A07KX; A07KY; A0BA1; A0C0R; A0C0S; A0CHV; A0EJY; A07GY; A07KT; A07GZ; A07KD; A07JK; A0BYM,,A0C7L,A0C8R; A0C8X; A0CSD; A0C8S,A0C8Z; A0C9A; A0C7H; A0C9B,A0C3J; A0C3M; A0C3L; A0C3H
A01RH,A057E; A057G; A0CDA; A0CDB; A0CDD; A0CDE,A069H; A0BYZ; A069N; A0CEY; A0EJN,A06HY; A06HZ,,,,,,,,,,,,,,,A07NY,A07PR,A0F4T; A0F4V,A0C6Q; A07SE; A0C6Y; A07SD; A07RZ,,A07TD,,,A07XD,A01RH,A07HS; A07KP; A0C0S; A07KT; A07JK; A07KQ,,,A0C8S; A0C8V; A0C8X,A0C8Z; A0C9A,
A01RJ,A057G,A0BYZ,A06JA,,,,,,,,,,,,,,,,,,A07RV; A0C6Q; A0C6Y,,A07TD,A07VQ,,,A01RJ,A0C0S; A07HS,,,A0C8X; A0C8S,A0C8Z; A0C9A,
A01RK,A057G; A0CDA; A0CDB; A0CDE,A069H,,,,,,,,,,,,,,,,,,,A07RV,,A07TD,,,,,A07KY; A0C0S,,,A0C8X,A0C8Z; A0C9A,
A01RL,A056V; A057G; A057P; A0CDG; A0CDH; A0CDL,A069H; A06GH; A0BYZ; A0CEY,A06HY,,,,,,,,,,,,,,,,,A0F4T,A07RY; A07RV; A0C6Y,,A07TD,,,A07XD,,A07HS; A0C0S,,,A0C8S; A0C8V; A0C8X,A0C8Z; A0C9A,
A01RM,A0B9Z; A0BA3,A069H,A06HY,,,,,,,,,,,,,,,,,,A0C6Y,,A07TD,,,,,A07HS; A0C0S,,,A0C8S; A16NK; A0C8V,A0C7H; A0C8Z; A0C9A,
A01RN,A0B9Z; A0BA3,A069H; A069N; A0BYZ; A0CEY,A06HY; A06HZ,,,,,,,,,,,,,,,A07NY,A07PR,A0F4T,A0C6Y,,A07TD,,,A07XD,A01RN,A07HS; A07KP; A0C0R; A0C0S; A07JK,,,A0C8S; A0C8V; A0C8X,A0C7H; A0C8Z; A0C9A,A0C3L
A01RQ,A057T,A069H; A0BYZ; A0CEY,A06HZ; A06HY,,,,,,,,,,,,,,,A07NY,,A07QM; A0F4V,A07RV; A07RY; A0C6Q; A07SD,,A07TD,,,A07XD,A01RQ,A07HS; A0C0S; A07GY; A07KT; A07KQ,,,,A0C8Z; A0C9A; A0C9B,
A01RS,,,A06HZ,,,,,,,,,,,,,,,,,,A0C6Y,,,,,,,A07HS; A07KQ,,,,,
A01RZ,A056M; A056P; A056R; A056V,A069H; A069F,,,,,,,,,,,,,,,,,,,A07RV; A07RY,,,,,,,,,,,,
